[frequency (THz)]	[signal]	[dc signal]	[interferogram phase (rad)]	[linear phase (rad)]
793.970	41.349	53.222	70.725	83.507
793.908	-26.617	53.600	71.272	83.998
793.846	26.736	54.061	71.817	84.488
793.783	70.066	54.598	72.361	84.979
793.721	37.064	55.204	72.903	85.470
793.659	28.701	55.872	73.442	85.961
793.597	39.884	56.592	73.980	86.452
793.535	42.882	57.354	74.516	86.943
793.473	81.039	58.148	75.049	87.433
793.411	109.670	58.962	75.581	87.924
793.349	46.978	59.786	76.110	88.415
793.287	19.299	60.608	76.636	88.906
793.225	65.561	61.415	77.161	89.396
793.163	28.460	62.198	77.684	89.887
793.101	-25.582	62.944	78.205	90.378
793.038	17.558	63.643	78.723	90.869
792.976	53.854	64.284	79.240	91.360
792.914	42.578	64.857	79.754	91.850
792.852	32.250	65.353	80.267	92.341
792.790	38.908	65.763	80.778	92.832
792.728	46.256	66.079	81.287	93.323
792.666	14.041	66.293	81.793	93.813
792.604	8.358	66.400	82.298	94.305
792.542	89.310	66.395	82.800	94.795
792.480	109.639	66.273	83.300	95.286
792.418	47.113	66.032	83.797	95.777
792.356	26.981	65.671	84.291	96.268
792.293	52.477	65.189	84.782	96.759
792.231	83.178	64.587	85.269	97.249
792.169	86.187	63.870	85.753	97.740
792.107	66.061	63.043	86.232	98.231
792.045	46.127	62.114	86.705	98.722
791.983	35.681	61.092	87.173	99.213
791.921	39.425	59.990	87.635	99.703
791.859	58.376	58.826	88.088	100.194
791.797	81.822	57.620	88.533	100.685
791.735	92.841	56.395	88.969	101.176
791.673	72.402	55.181	89.395	101.666
791.611	17.878	54.008	89.811	102.158
791.549	-45.828	52.913	90.217	102.648
791.486	-43.823	51.928	90.615	103.139
791.424	16.248	51.086	91.009	103.630
791.362	44.264	50.412	91.400	104.121
791.300	52.296	49.920	91.793	104.612
791.238	64.610	49.616	92.192	105.102
791.176	59.601	49.497	92.598	105.593
791.114	44.253	49.553	93.014	106.084
791.052	38.876	49.771	93.439	106.575
790.990	40.408	50.135	93.874	107.066
790.928	59.218	50.633	94.319	107.556
790.866	104.092	51.250	94.771	108.047
790.804	71.044	51.976	95.231	108.538
790.741	-42.513	52.800	95.696	109.029
790.679	-26.568	53.714	96.168	109.519
790.617	25.564	54.709	96.644	110.011
790.555	-43.300	55.778	97.124	110.501
790.493	-28.167	56.916	97.608	110.992
790.431	47.684	58.114	98.094	111.483
790.369	-38.194	59.369	98.584	111.974
790.307	-78.930	60.673	99.076	112.465
790.245	27.124	62.020	99.569	112.955
790.183	34.004	63.404	100.065	113.446
790.121	10.566	64.820	100.562	113.937
790.059	92.790	66.260	101.061	114.428
789.997	117.410	67.718	101.561	114.919
789.934	44.011	69.188	102.062	115.409
789.872	-29.720	70.662	102.564	115.900
