[frequency (THz)]	[wavelength (nm)]	[intensity]	[phase (rad)]
379.769	789.953	0.291	-0.799
379.707	790.082	0.296	-0.786
379.645	790.211	0.301	-0.773
379.583	790.341	0.307	-0.761
379.521	790.470	0.312	-0.748
379.459	790.599	0.317	-0.735
379.397	790.729	0.323	-0.722
379.335	790.858	0.328	-0.709
379.273	790.987	0.334	-0.696
379.211	791.117	0.340	-0.683
379.149	791.246	0.345	-0.669
379.087	791.376	0.351	-0.656
379.024	791.506	0.357	-0.643
378.962	791.635	0.363	-0.629
378.900	791.765	0.369	-0.616
378.838	791.895	0.375	-0.602
378.776	792.025	0.381	-0.589
378.714	792.154	0.388	-0.575
378.652	792.284	0.394	-0.561
378.590	792.414	0.401	-0.548
378.528	792.544	0.408	-0.534
378.466	792.674	0.415	-0.521
378.404	792.804	0.422	-0.507
378.342	792.934	0.429	-0.493
378.280	793.064	0.436	-0.480
378.217	793.195	0.444	-0.466
378.155	793.325	0.451	-0.453
378.093	793.455	0.459	-0.439
378.031	793.585	0.467	-0.426
377.969	793.716	0.475	-0.413
377.907	793.846	0.483	-0.399
377.845	793.977	0.492	-0.386
377.783	794.107	0.500	-0.373
377.721	794.237	0.509	-0.360
377.659	794.368	0.518	-0.347
377.597	794.499	0.527	-0.335
377.535	794.629	0.536	-0.322
377.472	794.760	0.545	-0.310
377.410	794.891	0.555	-0.297
377.348	795.021	0.564	-0.285
377.286	795.152	0.574	-0.273
377.224	795.283	0.584	-0.261
377.162	795.414	0.594	-0.250
377.100	795.545	0.604	-0.238
377.038	795.676	0.614	-0.227
376.976	795.807	0.624	-0.216
376.914	795.938	0.634	-0.205
376.852	796.069	0.644	-0.195
376.790	796.200	0.655	-0.184
376.728	796.332	0.665	-0.174
376.665	796.463	0.676	-0.164
376.603	796.594	0.686	-0.155
376.541	796.726	0.696	-0.145
376.479	796.857	0.707	-0.136
376.417	796.988	0.717	-0.127
376.355	797.120	0.727	-0.119
376.293	797.251	0.738	-0.111
376.231	797.383	0.748	-0.103
376.169	797.514	0.758	-0.095
376.107	797.646	0.768	-0.088
376.045	797.778	0.777	-0.080
375.983	797.909	0.787	-0.074
375.920	798.041	0.797	-0.067
375.858	798.173	0.806	-0.061
375.796	798.305	0.815	-0.055
375.734	798.437	0.824	-0.049
375.672	798.569	0.833	-0.044
375.610	798.701	0.842	-0.039
375.548	798.833	0.850	-0.034
375.486	798.965	0.859	-0.030
375.424	799.097	0.867	-0.025
375.362	799.229	0.874	-0.021
375.300	799.361	0.882	-0.018
375.238	799.494	0.889	-0.014
375.175	799.626	0.896	-0.011
375.113	799.758	0.903	-0.009
375.051	799.890	0.910	-0.006
374.989	800.023	0.916	-0.004
374.927	800.155	0.922	-0.002
374.865	800.288	0.928	0.000
374.803	800.420	0.933	0.002
374.741	800.553	0.939	0.003
374.679	800.686	0.944	0.004
374.617	800.818	0.948	0.005
374.555	800.951	0.953	0.005
374.493	801.084	0.957	0.006
374.431	801.217	0.961	0.006
374.368	801.349	0.965	0.006
374.306	801.483	0.969	0.005
374.244	801.615	0.972	0.005
374.182	801.748	0.975	0.004
374.120	801.881	0.978	0.004
374.058	802.015	0.981	0.003
373.996	802.148	0.983	0.001
373.934	802.281	0.986	0.000
373.872	802.414	0.988	-0.001
373.810	802.547	0.990	-0.003
373.748	802.681	0.992	-0.005
373.686	802.814	0.993	-0.006
373.623	802.947	0.995	-0.008
373.561	803.081	0.996	-0.011
373.499	803.214	0.997	-0.013
373.437	803.348	0.998	-0.015
373.375	803.481	0.999	-0.018
373.313	803.615	0.999	-0.020
373.251	803.749	1.000	-0.023
373.189	803.882	1.000	-0.026
373.127	804.016	1.000	-0.028
373.065	804.150	1.000	-0.031
373.003	804.284	1.000	-0.034
372.941	804.418	0.999	-0.038
372.879	804.552	0.999	-0.041
372.816	804.686	0.998	-0.044
372.754	804.820	0.997	-0.047
372.692	804.954	0.996	-0.051
372.630	805.088	0.995	-0.054
372.568	805.222	0.993	-0.058
372.506	805.356	0.992	-0.062
372.444	805.490	0.990	-0.066
372.382	805.625	0.988	-0.070
372.320	805.759	0.985	-0.074
372.258	805.893	0.983	-0.078
372.196	806.028	0.980	-0.082
372.134	806.162	0.977	-0.087
372.071	806.297	0.973	-0.091
372.009	806.431	0.970	-0.096
371.947	806.566	0.966	-0.101
371.885	806.701	0.961	-0.105
371.823	806.835	0.957	-0.110
371.761	806.970	0.952	-0.116
371.699	807.105	0.947	-0.121
371.637	807.239	0.942	-0.127
371.575	807.374	0.936	-0.132
371.513	807.509	0.930	-0.138
371.451	807.644	0.923	-0.144
371.389	807.779	0.917	-0.150
371.326	807.914	0.909	-0.157
371.264	808.049	0.902	-0.164
371.202	808.185	0.894	-0.170
371.140	808.320	0.886	-0.178
371.078	808.455	0.878	-0.185
371.016	808.590	0.869	-0.192
370.954	808.725	0.860	-0.200
370.892	808.861	0.850	-0.208
370.830	808.996	0.840	-0.216
370.768	809.132	0.830	-0.225
370.706	809.267	0.820	-0.234
370.644	809.403	0.809	-0.243
370.582	809.539	0.798	-0.252
370.519	809.674	0.787	-0.262
370.457	809.810	0.775	-0.272
370.395	809.945	0.763	-0.282
370.333	810.081	0.751	-0.292
370.271	810.217	0.739	-0.303
370.209	810.353	0.726	-0.314
370.147	810.489	0.714	-0.326
370.085	810.625	0.701	-0.337
370.023	810.761	0.688	-0.349
369.961	810.897	0.674	-0.362
369.899	811.033	0.661	-0.374
369.837	811.169	0.647	-0.387
369.774	811.305	0.634	-0.401
369.712	811.441	0.620	-0.414
369.650	811.578	0.607	-0.428
369.588	811.714	0.593	-0.443
369.526	811.850	0.579	-0.457
369.464	811.987	0.565	-0.472
369.402	812.123	0.551	-0.487
369.340	812.260	0.538	-0.503
369.278	812.396	0.524	-0.519
369.216	812.533	0.510	-0.535
369.154	812.670	0.497	-0.552
369.092	812.806	0.484	-0.569
369.030	812.943	0.470	-0.586
368.967	813.080	0.457	-0.604
368.905	813.217	0.444	-0.622
368.843	813.354	0.431	-0.640
368.781	813.490	0.419	-0.658
368.719	813.627	0.406	-0.677
368.657	813.764	0.394	-0.697
368.595	813.902	0.382	-0.716
368.533	814.039	0.370	-0.736
368.471	814.176	0.358	-0.756
368.409	814.313	0.347	-0.777
368.347	814.450	0.335	-0.798
368.285	814.587	0.324	-0.819
368.222	814.725	0.314	-0.840
368.160	814.862	0.303	-0.862
368.098	815.000	0.293	-0.884
368.036	815.137	0.283	-0.907
367.974	815.275	0.273	-0.930
367.912	815.412	0.264	-0.953
367.850	815.550	0.254	-0.976
367.788	815.687	0.245	-1.000
367.726	815.825	0.237	-1.025
367.664	815.963	0.228	-1.049
367.602	816.101	0.220	-1.074
367.540	816.238	0.212	-1.100
367.478	816.377	0.204	-1.126
367.415	816.514	0.197	-1.152
367.353	816.652	0.189	-1.178
367.291	816.790	0.182	-1.206
367.229	816.928	0.175	-1.233
367.167	817.067	0.169	-1.261
367.105	817.205	0.162	-1.290
367.043	817.343	0.156	-1.319
366.981	817.481	0.150	-1.349
366.919	817.620	0.144	-1.379
366.857	817.758	0.138	-1.410
366.795	817.896	0.133	-1.442
366.733	818.035	0.127	-1.474
366.670	818.173	0.122	-1.508
366.608	818.312	0.117	-1.542
366.546	818.450	0.112	-1.576
366.484	818.589	0.108	-1.612
366.422	818.728	0.103	-1.649
366.360	818.867	0.099	-1.687
366.298	819.005	0.094	-1.725
366.236	819.144	0.090	-1.765
366.174	819.283	0.086	-1.807
366.112	819.422	0.082	-1.849
366.050	819.561	0.079	-1.893
365.988	819.700	0.075	-1.938
365.925	819.839	0.072	-1.985
365.863	819.978	0.068	-2.033
365.801	820.117	0.065	-2.083
365.739	820.256	0.062	-2.135
365.677	820.396	0.059	-2.189
365.615	820.535	0.056	-2.245
365.553	820.674	0.053	-2.302
365.491	820.814	0.051	-2.362
365.429	820.953	0.048	-2.424
365.367	821.093	0.046	-2.489
365.305	821.232	0.044	-2.556
365.243	821.372	0.041	-2.626
365.181	821.511	0.039	-2.698
365.118	821.651	0.037	-2.773
365.056	821.791	0.035	-2.851
364.994	821.931	0.034	-2.932
364.932	822.070	0.032	-3.016
364.870	822.210	0.030	-3.103
364.808	822.350	0.029	-3.194
364.746	822.490	0.027	-3.287
364.684	822.630	0.026	-3.384
364.622	822.770	0.025	-3.484
364.560	822.910	0.024	-3.588
364.498	823.051	0.023	-3.695
364.436	823.191	0.022	-3.805
364.373	823.331	0.021	-3.918
364.311	823.471	0.020	-4.035
364.249	823.612	0.019	-4.156
364.187	823.752	0.019	-4.279
364.125	823.892	0.018	-4.406
364.063	824.033	0.017	-4.536
364.001	824.173	0.017	-4.669
363.939	824.314	0.016	-4.805
363.877	824.455	0.016	-4.944
363.815	824.595	0.016	-5.086
363.753	824.736	0.015	-5.230
363.691	824.877	0.015	-5.377
363.629	825.018	0.015	-5.527
363.566	825.159	0.015	-5.679
363.504	825.300	0.015	-5.833
363.442	825.440	0.014	-5.990
363.380	825.582	0.014	-6.149
363.318	825.723	0.014	-6.309
363.256	825.864	0.014	-6.472
363.194	826.005	0.014	-6.636
363.132	826.146	0.014	-6.802
363.070	826.287	0.014	-6.969
363.008	826.429	0.014	-7.137
362.946	826.570	0.014	-7.307
362.884	826.711	0.014	-7.477
362.821	826.853	0.014	-7.647
362.759	826.994	0.013	-7.818
362.697	827.136	0.013	-7.988
362.635	827.277	0.013	-8.158
362.573	827.419	0.013	-8.326
362.511	827.561	0.013	-8.492
362.449	827.703	0.013	-8.655
362.387	827.844	0.012	-8.815
362.325	827.986	0.012	-8.969
362.263	828.128	0.012	-9.117
362.201	828.270	0.012	-9.258
362.139	828.412	0.011	-9.393
362.076	828.554	0.011	-9.520
362.014	828.696	0.011	-9.641
361.952	828.838	0.010	-9.756
361.890	828.981	0.010	-9.868
361.828	829.123	0.010	-9.977
361.766	829.265	0.009	-10.084
361.704	829.407	0.009	-10.189
361.642	829.550	0.008	-10.295
361.580	829.692	0.008	-10.400
361.518	829.835	0.007	-10.507
361.456	829.977	0.007	-10.614
361.394	830.120	0.007	-10.723
361.332	830.262	0.006	-10.834
361.269	830.405	0.006	-10.947
361.207	830.548	0.005	-11.062
361.145	830.690	0.005	-11.179
361.083	830.833	0.005	-11.299
361.021	830.976	0.004	-11.421
360.959	831.119	0.004	-11.546
360.897	831.262	0.003	-11.673
360.835	831.405	0.003	-11.804
360.773	831.548	0.003	-11.937
360.711	831.691	0.002	-12.073
360.649	831.834	0.002	-12.213
360.587	831.978	0.002	-12.355
360.524	832.121	0.002	-12.501
360.462	832.264	0.001	-12.649
360.400	832.408	0.001	-12.801
360.338	832.551	0.001	-12.957
360.276	832.694	0.001	-13.115
360.214	832.838	0.001	-13.278
360.152	832.981	0.001	-13.444
360.090	833.125	0.000	-13.614
360.028	833.269	0.000	-13.787
359.966	833.413	0.000	-13.965
359.904	833.556	0.000	-14.147
359.842	833.700	0.000	-14.334
359.780	833.844	0.000	-14.526
359.717	833.988	0.000	-14.723
359.655	834.132	0.000	-14.926
359.593	834.276	0.000	-15.136
359.531	834.420	0.000	-15.354
359.469	834.564	0.000	-15.579
359.407	834.708	0.000	-15.811
359.345	834.852	0.000	-16.033
359.283	834.997	0.000	-16.182
359.221	835.141	0.000	-16.266
359.159	835.285	0.000	-16.356
359.097	835.430	0.000	-16.457
359.035	835.574	0.000	-16.570
358.972	835.719	0.000	-16.694
358.910	835.863	0.000	-16.826
358.848	836.008	0.000	-16.966
358.786	836.152	0.000	-17.114
358.724	836.297	0.000	-17.268
358.662	836.442	0.000	-17.427
358.600	836.587	0.000	-17.591
358.538	836.732	0.000	-17.761
358.476	836.876	0.000	-17.934
358.414	837.021	0.000	-18.111
358.352	837.166	0.000	-18.292
358.290	837.311	0.000	-18.477
358.228	837.456	0.000	-18.665
358.165	837.602	0.000	-18.857
358.103	837.747	0.000	-19.052
358.041	837.892	0.000	-19.249
357.979	838.037	0.000	-19.451
357.917	838.183	0.000	-19.655
357.855	838.328	0.000	-19.862
357.793	838.474	0.000	-20.073
357.731	838.619	0.000	-20.286
357.669	838.765	0.000	-20.503
357.607	838.910	0.000	-20.723
357.545	839.056	0.000	-20.946
357.483	839.202	0.000	-21.172
357.420	839.348	0.000	-21.402
357.358	839.493	0.000	-21.633
357.296	839.639	0.000	-21.865
357.234	839.785	0.000	-22.093
357.172	839.931	0.000	-22.307
357.110	840.077	0.000	-22.492
357.048	840.223	0.000	-22.647
356.986	840.369	0.000	-22.787
356.924	840.515	0.000	-22.926
356.862	840.662	0.000	-23.070
356.800	840.808	0.000	-23.220
356.738	840.954	0.000	-23.378
356.676	841.101	0.000	-23.544
356.613	841.247	0.000	-23.717
356.551	841.394	0.000	-23.897
356.489	841.540	0.000	-24.083
356.427	841.687	0.000	-24.274
356.365	841.833	0.000	-24.470
356.303	841.980	0.000	-24.671
356.241	842.127	0.000	-24.876
356.179	842.273	0.000	-25.086
356.117	842.420	0.000	-25.299
356.055	842.567	0.000	-25.516
355.993	842.714	0.000	-25.737
355.931	842.861	0.000	-25.962
355.868	843.008	0.000	-26.190
355.806	843.155	0.000	-26.422
355.744	843.302	0.000	-26.657
355.682	843.449	0.000	-26.896
355.620	843.597	0.000	-27.140
355.558	843.744	0.000	-27.388
355.496	843.891	0.000	-27.639
355.434	844.039	0.000	-27.896
355.372	844.186	0.000	-28.159
355.310	844.334	0.000	-28.427
355.248	844.481	0.000	-28.702
355.186	844.629	0.000	-28.985
355.123	844.777	0.000	-29.277
355.061	844.924	0.000	-29.580
354.999	845.072	0.000	-29.896
354.937	845.220	0.000	-30.229
354.875	845.368	0.000	-30.582
354.813	845.515	0.000	-30.957
354.751	845.663	0.000	-31.359
354.689	845.811	0.000	-31.788
354.627	845.959	0.000	-32.244
354.565	846.108	0.000	-32.727
354.503	846.256	0.000	-33.233
354.441	846.404	0.000	-33.759
354.379	846.552	0.000	-34.303
354.316	846.701	0.000	-34.861
354.254	846.849	0.000	-35.432
354.192	846.997	0.000	-36.012
354.130	847.146	0.000	-36.603
354.068	847.294	0.000	-37.200
354.006	847.443	0.000	-37.806
353.944	847.592	0.000	-38.418
353.882	847.740	0.000	-39.037
353.820	847.889	0.000	-39.663
353.758	848.038	0.000	-40.295
353.696	848.187	0.000	-40.935
353.634	848.336	0.000	-41.583
353.571	848.485	0.000	-42.239
353.509	848.634	0.000	-42.905
353.447	848.783	0.000	-43.583
353.385	848.932	0.000	-44.273
353.323	849.081	0.000	-44.978
353.261	849.230	0.000	-45.700
353.199	849.379	0.000	-46.438
353.137	849.529	0.000	-47.192
353.075	849.678	0.000	-47.961
353.013	849.828	0.000	-48.746
352.951	849.977	0.000	-49.544
352.889	850.127	0.000	-50.357
352.827	850.276	0.000	-51.186
352.764	850.426	0.000	-52.034
352.702	850.575	0.000	-52.904
352.640	850.725	0.000	-53.799
352.578	850.875	0.000	-54.717
352.516	851.025	0.000	-55.652
352.454	851.175	0.000	-56.604
352.392	851.325	0.000	-57.565
352.330	851.475	0.000	-58.534
352.268	851.625	0.000	-59.510
352.206	851.775	0.000	-60.492
352.144	851.925	0.000	-61.478
352.082	852.075	0.000	-62.466
352.019	852.226	0.000	-63.461
351.957	852.376	0.000	-64.456
351.895	852.526	0.000	-65.454
351.833	852.677	0.000	-66.454
351.771	852.827	0.000	-67.457
351.709	852.978	0.000	-68.462
351.647	853.128	0.000	-69.468
351.585	853.279	0.000	-70.477
351.523	853.429	0.000	-71.485
351.461	853.580	0.000	-72.496
351.399	853.731	0.000	-73.509
351.337	853.882	0.000	-74.521
351.275	854.033	0.000	-75.535
351.212	854.184	0.000	-76.550
351.150	854.335	0.000	-77.568
351.088	854.486	0.000	-78.584
351.026	854.637	0.000	-79.602
350.964	854.788	0.000	-80.622
350.902	854.939	0.000	-81.641
350.840	855.091	0.000	-82.661
350.778	855.242	0.000	-83.682
350.716	855.393	0.000	-84.703
350.654	855.545	0.000	-85.726
350.592	855.696	0.000	-86.749
350.530	855.848	0.000	-87.771
350.467	856.000	0.000	-88.794
350.405	856.151	0.000	-89.818
350.343	856.303	0.000	-90.841
350.281	856.455	0.000	-91.864
350.219	856.606	0.000	-92.887
350.157	856.758	0.000	-93.910
350.095	856.910	0.000	-94.931
350.033	857.062	0.000	-95.953
349.971	857.214	0.000	-96.972
349.909	857.366	0.000	-97.992
349.847	857.518	0.000	-99.008
349.785	857.671	0.000	-100.023
349.723	857.823	0.000	-101.036
349.660	857.975	0.000	-102.046
349.598	858.128	0.000	-103.054
349.536	858.280	0.000	-104.056
349.474	858.432	0.000	-105.057
349.412	858.585	0.000	-106.051
349.350	858.738	0.000	-107.042
349.288	858.890	0.000	-108.028
349.226	859.043	0.000	-109.007
349.164	859.196	0.000	-109.983
349.102	859.348	0.000	-110.952
349.040	859.501	0.000	-111.917
348.978	859.654	0.000	-112.877
348.915	859.807	0.000	-113.831
348.853	859.960	0.000	-114.784
348.791	860.113	0.000	-115.731
348.729	860.266	0.000	-116.677
348.667	860.419	0.000	-117.622
348.605	860.573	0.000	-118.566
348.543	860.726	0.000	-119.509
348.481	860.879	0.000	-120.455
348.419	861.033	0.000	-121.402
348.357	861.186	0.000	-122.351
348.295	861.340	0.000	-123.305
348.233	861.493	0.000	-124.262
348.170	861.647	0.000	-125.225
348.108	861.800	0.000	-126.192
348.046	861.954	0.000	-127.167
347.984	862.108	0.000	-128.145
347.922	862.262	0.000	-129.128
347.860	862.416	0.000	-130.115
347.798	862.570	0.000	-131.107
347.736	862.723	0.000	-132.100
347.674	862.878	0.000	-133.098
347.612	863.032	0.000	-134.098
347.550	863.186	0.000	-135.098
347.488	863.340	0.000	-136.101
347.426	863.494	0.000	-137.105
347.363	863.649	0.000	-138.109
347.301	863.803	0.000	-139.112
347.239	863.957	0.000	-140.118
347.177	864.112	0.000	-141.124
347.115	864.266	0.000	-142.128
347.053	864.421	0.000	-143.134
346.991	864.576	0.000	-144.139
346.929	864.730	0.000	-145.144
346.867	864.885	0.000	-146.148
346.805	865.040	0.000	-147.153
346.743	865.195	0.000	-148.157
346.681	865.350	0.000	-149.161
346.618	865.505	0.000	-150.165
346.556	865.660	0.000	-151.168
346.494	865.815	0.000	-152.172
346.432	865.970	0.000	-153.176
346.370	866.125	0.000	-154.179
346.308	866.281	0.000	-155.182
346.246	866.436	0.000	-156.185
346.184	866.591	0.000	-157.191
346.122	866.747	0.000	-158.194
346.060	866.902	0.000	-159.200
345.998	867.058	0.000	-160.207
345.936	867.213	0.000	-161.214
345.874	867.369	0.000	-162.224
345.811	867.525	0.000	-163.234
345.749	867.680	0.000	-164.249
345.687	867.836	0.000	-165.265
345.625	867.992	0.000	-166.287
345.563	868.148	0.000	-167.312
345.501	868.304	0.000	-168.344
345.439	868.460	0.000	-169.381
345.377	868.616	0.000	-170.426
345.315	868.772	0.000	-171.478
345.253	868.929	0.000	-172.538
345.191	869.085	0.000	-173.606
345.129	869.241	0.000	-174.681
345.066	869.398	0.000	-175.763
345.004	869.554	0.000	-176.851
344.942	869.711	0.000	-177.944
344.880	869.867	0.000	-179.041
344.818	870.024	0.000	-180.141
344.756	870.180	0.000	-181.244
344.694	870.337	0.000	-182.350
344.632	870.494	0.000	-183.458
344.570	870.651	0.000	-184.566
344.508	870.808	0.000	-185.677
344.446	870.965	0.000	-186.788
344.384	871.122	0.000	-187.900
344.322	871.279	0.000	-189.013
344.259	871.436	0.000	-190.126
344.197	871.593	0.000	-191.239
344.135	871.750	0.000	-192.351
344.073	871.907	0.000	-193.466
344.011	872.065	0.000	-194.578
343.949	872.222	0.000	-195.691
343.887	872.380	0.000	-196.804
343.825	872.537	0.000	-197.917
343.763	872.695	0.000	-199.030
343.701	872.852	0.000	-200.142
343.639	873.010	0.000	-201.257
343.577	873.168	0.000	-202.367
343.514	873.326	0.000	-203.481
343.452	873.483	0.000	-204.594
343.390	873.641	0.000	-205.707
343.328	873.799	0.000	-206.820
343.266	873.957	0.000	-207.934
343.204	874.116	0.000	-209.050
343.142	874.273	0.000	-210.164
343.080	874.432	0.000	-211.282
343.018	874.590	0.000	-212.401
342.956	874.748	0.000	-213.522
342.894	874.907	0.000	-214.647
342.832	875.065	0.000	-215.778
342.770	875.224	0.000	-216.918
342.707	875.382	0.000	-218.077
342.645	875.541	0.000	-219.274
342.583	875.699	0.000	-220.514
342.521	875.858	0.000	-221.785
342.459	876.017	0.000	-223.071
342.397	876.176	0.000	-224.366
342.335	876.335	0.000	-225.667
342.273	876.494	0.000	-226.971
342.211	876.653	0.000	-228.280
342.149	876.812	0.000	-229.590
342.087	876.971	0.000	-230.902
342.025	877.130	0.000	-232.219
341.962	877.289	0.000	-233.535
341.900	877.448	0.000	-234.853
341.838	877.608	0.000	-236.173
341.776	877.767	0.000	-237.494
341.714	877.927	0.000	-238.817
341.652	878.086	0.000	-240.141
341.590	878.246	0.000	-241.465
341.528	878.406	0.000	-242.792
341.466	878.565	0.000	-244.117
341.404	878.725	0.000	-245.444
341.342	878.885	0.000	-246.772
341.280	879.045	0.000	-248.099
341.217	879.205	0.000	-249.429
341.155	879.364	0.000	-250.756
341.093	879.525	0.000	-252.086
341.031	879.685	0.000	-253.413
340.969	879.845	0.000	-254.743
340.907	880.005	0.000	-256.071
340.845	880.165	0.000	-257.399
340.783	880.326	0.000	-258.727
340.721	880.486	0.000	-260.055
340.659	880.647	0.000	-261.385
340.597	880.807	0.000	-262.709
340.535	880.968	0.000	-264.038
340.473	881.128	0.000	-265.364
340.410	881.289	0.000	-266.689
340.348	881.450	0.000	-268.014
340.286	881.610	0.000	-269.339
340.224	881.771	0.000	-270.663
340.162	881.932	0.000	-271.985
340.100	882.093	0.000	-273.308
340.038	882.254	0.000	-274.628
339.976	882.415	0.000	-275.947
339.914	882.577	0.000	-277.266
339.852	882.738	0.000	-278.582
339.790	882.899	0.000	-279.898
339.728	883.060	0.000	-281.212
339.665	883.222	0.000	-282.526
339.603	883.383	0.000	-283.836
339.541	883.545	0.000	-285.145
339.479	883.706	0.000	-286.454
339.417	883.868	0.000	-287.760
339.355	884.030	0.000	-289.063
339.293	884.191	0.000	-290.366
339.231	884.353	0.000	-291.667
339.169	884.515	0.000	-292.965
339.107	884.677	0.000	-294.262
339.045	884.839	0.000	-295.557
338.983	885.001	0.000	-296.848
338.921	885.163	0.000	-298.138
338.858	885.325	0.000	-299.427
338.796	885.488	0.000	-300.712
338.734	885.650	0.000	-301.996
338.672	885.812	0.000	-303.279
338.610	885.975	0.000	-304.557
338.548	886.137	0.000	-305.836
338.486	886.300	0.000	-307.110
338.424	886.462	0.000	-308.385
338.362	886.625	0.000	-309.654
338.300	886.787	0.000	-310.922
338.238	886.950	0.000	-312.189
338.176	887.113	0.000	-313.450
338.113	887.276	0.000	-314.711
338.051	887.439	0.000	-315.967
337.989	887.602	0.000	-317.221
337.927	887.765	0.000	-318.469
337.865	887.928	0.000	-319.715
337.803	888.091	0.000	-320.956
337.741	888.254	0.000	-322.192
337.679	888.418	0.000	-323.427
337.617	888.581	0.000	-324.654
337.555	888.745	0.000	-325.879
337.493	888.908	0.000	-327.099
337.431	889.072	0.000	-328.313
337.369	889.235	0.000	-329.526
337.306	889.399	0.000	-330.733
337.244	889.563	0.000	-331.938
337.182	889.726	0.000	-333.138
337.120	889.890	0.000	-334.337
337.058	890.054	0.000	-335.531
336.996	890.218	0.000	-336.723
336.934	890.382	0.000	-337.912
336.872	890.546	0.000	-339.098
336.810	890.710	0.000	-340.283
336.748	890.875	0.000	-341.465
336.686	891.039	0.000	-342.645
336.624	891.203	0.000	-343.822
336.561	891.368	0.000	-344.999
336.499	891.532	0.000	-346.174
336.437	891.697	0.000	-347.346
336.375	891.861	0.000	-348.516
336.313	892.026	0.000	-349.686
336.251	892.190	0.000	-350.854
336.189	892.355	0.000	-352.019
336.127	892.520	0.000	-353.185
336.065	892.685	0.000	-354.348
336.003	892.850	0.000	-355.510
335.941	893.015	0.000	-356.671
335.879	893.180	0.000	-357.830
335.817	893.345	0.000	-358.987
335.754	893.510	0.000	-360.145
335.692	893.675	0.000	-361.302
335.630	893.841	0.000	-362.455
335.568	894.006	0.000	-363.611
335.506	894.171	0.000	-364.764
335.444	894.337	0.000	-365.916
335.382	894.502	0.000	-367.067
335.320	894.668	0.000	-368.218
335.258	894.834	0.000	-369.370
335.196	894.999	0.000	-370.518
335.134	895.165	0.000	-371.668
335.072	895.331	0.000	-372.817
335.009	895.497	0.000	-373.966
334.947	895.663	0.000	-375.114
334.885	895.829	0.000	-376.262
334.823	895.995	0.000	-377.410
334.761	896.161	0.000	-378.557
334.699	896.328	0.000	-379.707
334.637	896.494	0.000	-380.853
334.575	896.660	0.000	-382.002
334.513	896.827	0.000	-383.150
334.451	896.993	0.000	-384.298
334.389	897.160	0.000	-385.447
334.327	897.326	0.000	-386.594
334.264	897.493	0.000	-387.745
334.202	897.659	0.000	-388.893
334.140	897.826	0.000	-390.044
334.078	897.993	0.000	-391.195
334.016	898.160	0.000	-392.346
333.954	898.327	0.000	-393.498
333.892	898.494	0.000	-394.651
333.830	898.661	0.000	-395.805
333.768	898.828	0.000	-396.960
333.706	898.996	0.000	-398.117
333.644	899.163	0.000	-399.274
333.582	899.330	0.000	-400.434
333.520	899.497	0.000	-401.596
333.457	899.665	0.000	-402.760
333.395	899.832	0.000	-403.927
333.333	900.000	0.000	-405.098
333.271	900.168	0.000	-406.273
333.209	900.335	0.000	-407.455
333.147	900.503	0.000	-408.644
333.085	900.671	0.000	-409.842
333.023	900.839	0.000	-411.053
332.961	901.007	0.000	-412.277
332.899	901.175	0.000	-413.515
332.837	901.343	0.000	-414.767
332.775	901.511	0.000	-416.029
332.712	901.679	0.000	-417.300
332.650	901.848	0.000	-418.574
332.588	902.016	0.000	-419.855
332.526	902.184	0.000	-421.132
332.464	902.353	0.000	-422.406
332.402	902.521	0.000	-423.670
332.340	902.690	0.000	-424.916
332.278	902.859	0.000	-426.135
332.216	903.027	0.000	-427.324
332.154	903.196	0.000	-428.498
332.092	903.365	0.000	-429.657
332.030	903.534	0.000	-430.811
331.968	903.703	0.000	-431.961
331.905	903.872	0.000	-433.108
331.843	904.041	0.000	-434.253
331.781	904.210	0.000	-435.398
331.719	904.379	0.000	-436.543
331.657	904.548	0.000	-437.683
331.595	904.718	0.000	-438.828
331.533	904.887	0.000	-439.970
331.471	905.057	0.000	-441.111
331.409	905.226	0.000	-442.254
331.347	905.396	0.000	-443.396
331.285	905.566	0.000	-444.539
331.223	905.735	0.000	-445.680
331.160	905.905	0.000	-446.823
331.098	906.075	0.000	-447.966
331.036	906.245	0.000	-449.108
330.974	906.415	0.000	-450.251
330.912	906.585	0.000	-451.395
330.850	906.755	0.000	-452.539
330.788	906.925	0.000	-453.684
330.726	907.096	0.000	-454.831
330.664	907.266	0.000	-455.977
330.602	907.436	0.000	-457.131
330.540	907.607	0.000	-458.315
330.478	907.777	0.000	-459.590
330.416	907.948	0.000	-460.918
330.353	908.118	0.000	-462.254
330.291	908.289	0.000	-463.594
330.229	908.460	0.000	-464.932
330.167	908.631	0.000	-466.273
330.105	908.801	0.000	-467.614
330.043	908.972	0.000	-468.956
329.981	909.143	0.000	-470.297
329.919	909.314	0.000	-471.640
329.857	909.485	0.000	-472.983
329.795	909.657	0.000	-474.327
329.733	909.828	0.000	-475.672
329.671	909.999	0.000	-477.016
329.608	910.171	0.000	-478.362
329.546	910.342	0.000	-479.707
329.484	910.514	0.000	-481.055
329.422	910.685	0.000	-482.402
329.360	910.857	0.000	-483.751
329.298	911.029	0.000	-485.103
329.236	911.200	0.000	-486.456
329.174	911.372	0.000	-487.822
329.112	911.544	0.000	-489.223
329.050	911.716	0.000	-490.702
328.988	911.888	0.000	-492.229
328.926	912.060	0.000	-493.765
328.864	912.232	0.000	-495.305
328.801	912.405	0.000	-496.847
