[frequency (THz)]	[wavelength (nm)]	[intensity]	[phase (rad)]
418.632	716.620	0.000	-319.401
418.570	716.727	0.000	-318.487
418.508	716.833	0.000	-317.579
418.446	716.939	0.000	-316.673
418.383	717.046	0.000	-315.770
418.321	717.152	0.000	-314.870
418.259	717.259	0.000	-313.971
418.197	717.365	0.000	-313.076
418.135	717.471	0.000	-312.182
418.073	717.578	0.000	-311.289
418.011	717.685	0.000	-310.400
417.949	717.791	0.000	-309.510
417.887	717.898	0.000	-308.622
417.825	718.005	0.000	-307.734
417.763	718.111	0.000	-306.848
417.701	718.218	0.000	-305.962
417.639	718.325	0.000	-305.076
417.576	718.431	0.000	-304.189
417.514	718.538	0.000	-303.302
417.452	718.645	0.000	-302.415
417.390	718.752	0.000	-301.527
417.328	718.859	0.000	-300.636
417.266	718.966	0.000	-299.743
417.204	719.073	0.000	-298.849
417.142	719.180	0.000	-297.949
417.080	719.287	0.000	-297.047
417.018	719.394	0.000	-296.141
416.956	719.501	0.000	-295.231
416.894	719.608	0.000	-294.315
416.831	719.715	0.000	-293.395
416.769	719.823	0.000	-292.471
416.707	719.930	0.000	-291.541
416.645	720.037	0.000	-290.610
416.583	720.144	0.000	-289.672
416.521	720.252	0.000	-288.733
416.459	720.359	0.000	-287.791
416.397	720.467	0.000	-286.849
416.335	720.574	0.000	-285.904
416.273	720.681	0.000	-284.958
416.211	720.789	0.000	-284.015
416.149	720.896	0.000	-283.070
416.086	721.004	0.000	-282.127
416.024	721.112	0.000	-281.185
415.962	721.219	0.000	-280.246
415.900	721.327	0.000	-279.310
415.838	721.435	0.000	-278.375
415.776	721.542	0.000	-277.449
415.714	721.650	0.000	-276.523
415.652	721.758	0.000	-275.607
415.590	721.866	0.000	-274.696
415.528	721.973	0.000	-273.792
415.466	722.081	0.000	-272.897
415.404	722.189	0.000	-272.010
415.342	722.297	0.000	-271.133
415.279	722.405	0.000	-270.262
415.217	722.513	0.000	-269.401
415.155	722.621	0.000	-268.545
415.093	722.729	0.000	-267.696
415.031	722.837	0.000	-266.853
414.969	722.946	0.000	-266.014
414.907	723.054	0.000	-265.180
414.845	723.162	0.000	-264.349
414.783	723.270	0.000	-263.522
414.721	723.378	0.000	-262.698
414.659	723.487	0.000	-261.876
414.597	723.595	0.000	-261.056
414.534	723.703	0.000	-260.238
414.472	723.812	0.000	-259.422
414.410	723.920	0.000	-258.607
414.348	724.029	0.000	-257.794
414.286	724.137	0.000	-256.982
414.224	724.246	0.000	-256.171
414.162	724.354	0.000	-255.360
414.100	724.463	0.000	-254.551
414.038	724.572	0.000	-253.743
413.976	724.680	0.000	-252.935
413.914	724.789	0.000	-252.128
413.852	724.898	0.000	-251.321
413.790	725.006	0.000	-250.516
413.727	725.115	0.000	-249.710
413.665	725.224	0.000	-248.906
413.603	725.333	0.000	-248.100
413.541	725.442	0.000	-247.297
413.479	725.551	0.000	-246.493
413.417	725.660	0.000	-245.690
413.355	725.769	0.000	-244.888
413.293	725.878	0.000	-244.086
413.231	725.987	0.000	-243.287
413.169	726.096	0.000	-242.485
413.107	726.205	0.000	-241.687
413.045	726.314	0.000	-240.889
412.982	726.423	0.000	-240.093
412.920	726.532	0.000	-239.299
412.858	726.642	0.000	-238.506
412.796	726.751	0.000	-237.717
412.734	726.860	0.000	-236.929
412.672	726.969	0.000	-236.146
412.610	727.079	0.000	-235.364
412.548	727.188	0.000	-234.588
412.486	727.298	0.000	-233.816
412.424	727.407	0.000	-233.048
412.362	727.517	0.000	-232.284
412.300	727.626	0.000	-231.524
412.238	727.736	0.000	-230.770
412.175	727.846	0.000	-230.018
412.113	727.955	0.000	-229.270
412.051	728.065	0.000	-228.526
411.989	728.175	0.000	-227.785
411.927	728.284	0.000	-227.046
411.865	728.394	0.000	-226.308
411.803	728.504	0.000	-225.574
411.741	728.614	0.000	-224.841
411.679	728.723	0.000	-224.109
411.617	728.833	0.000	-223.380
411.555	728.943	0.000	-222.651
411.493	729.053	0.000	-221.926
411.430	729.163	0.000	-221.202
411.368	729.273	0.000	-220.481
411.306	729.384	0.000	-219.761
411.244	729.494	0.000	-219.045
411.182	729.604	0.000	-218.331
411.120	729.714	0.000	-217.621
411.058	729.824	0.000	-216.914
410.996	729.934	0.000	-216.211
410.934	730.045	0.000	-215.511
410.872	730.155	0.000	-214.813
410.810	730.265	0.000	-214.120
410.748	730.376	0.000	-213.429
410.686	730.486	0.000	-212.743
410.623	730.596	0.000	-212.058
410.561	730.707	0.000	-211.376
410.499	730.817	0.000	-210.696
410.437	730.928	0.000	-210.019
410.375	731.039	0.000	-209.344
410.313	731.149	0.000	-208.671
410.251	731.260	0.000	-208.000
410.189	731.371	0.000	-207.330
410.127	731.481	0.000	-206.663
410.065	731.592	0.000	-205.997
410.003	731.703	0.000	-205.333
409.941	731.813	0.000	-204.671
409.878	731.924	0.000	-204.010
409.816	732.035	0.000	-203.352
409.754	732.146	0.000	-202.694
409.692	732.257	0.000	-202.039
409.630	732.368	0.000	-201.385
409.568	732.479	0.000	-200.732
409.506	732.590	0.000	-200.081
409.444	732.701	0.000	-199.429
409.382	732.812	0.000	-198.780
409.320	732.923	0.000	-198.131
409.258	733.035	0.000	-197.483
409.196	733.146	0.000	-196.833
409.133	733.257	0.000	-196.185
409.071	733.368	0.000	-195.537
409.009	733.480	0.000	-194.888
408.947	733.591	0.000	-194.238
408.885	733.702	0.000	-193.588
408.823	733.814	0.000	-192.938
408.761	733.925	0.000	-192.285
408.699	734.037	0.000	-191.633
408.637	734.148	0.000	-190.978
408.575	734.260	0.000	-190.323
408.513	734.371	0.000	-189.666
408.451	734.483	0.000	-189.009
408.389	734.595	0.000	-188.349
408.326	734.706	0.000	-187.688
408.264	734.818	0.000	-187.027
408.202	734.930	0.000	-186.362
408.140	735.042	0.000	-185.697
408.078	735.153	0.000	-185.031
408.016	735.265	0.000	-184.364
407.954	735.377	0.000	-183.694
407.892	735.489	0.000	-183.024
407.830	735.601	0.000	-182.353
407.768	735.713	0.000	-181.680
407.706	735.825	0.000	-181.007
407.644	735.937	0.000	-180.331
407.581	736.049	0.000	-179.656
407.519	736.161	0.000	-178.980
407.457	736.273	0.000	-178.302
407.395	736.386	0.000	-177.625
407.333	736.498	0.000	-176.946
407.271	736.610	0.000	-176.269
407.209	736.723	0.000	-175.590
407.147	736.835	0.000	-174.912
407.085	736.947	0.000	-174.235
407.023	737.060	0.000	-173.559
406.961	737.172	0.000	-172.885
406.899	737.285	0.000	-172.212
406.837	737.397	0.000	-171.546
406.774	737.510	0.000	-170.884
406.712	737.622	0.000	-170.233
406.650	737.735	0.000	-169.595
406.588	737.847	0.000	-168.979
406.526	737.960	0.000	-168.389
406.464	738.073	0.000	-167.820
406.402	738.185	0.000	-167.270
406.340	738.298	0.000	-166.730
406.278	738.411	0.000	-166.200
406.216	738.524	0.000	-165.675
406.154	738.637	0.000	-165.156
406.092	738.750	0.000	-164.641
406.029	738.863	0.000	-164.131
405.967	738.976	0.000	-163.626
405.905	739.089	0.000	-163.125
405.843	739.202	0.000	-162.632
405.781	739.315	0.000	-162.147
405.719	739.428	0.000	-161.673
405.657	739.541	0.000	-161.210
405.595	739.654	0.000	-160.762
405.533	739.768	0.000	-160.329
405.471	739.881	0.000	-159.910
405.409	739.994	0.000	-159.503
405.347	740.108	0.000	-159.106
405.285	740.221	0.000	-158.716
405.222	740.334	0.000	-158.332
405.160	740.448	0.000	-157.953
405.098	740.561	0.000	-157.577
405.036	740.675	0.000	-157.204
404.974	740.788	0.000	-156.833
404.912	740.902	0.000	-156.463
404.850	741.015	0.000	-156.096
404.788	741.129	0.000	-155.728
404.726	741.243	0.000	-155.363
404.664	741.356	0.000	-154.997
404.602	741.470	0.000	-154.632
404.540	741.584	0.000	-154.268
404.477	741.698	0.000	-153.904
404.415	741.812	0.000	-153.541
404.353	741.926	0.000	-153.177
404.291	742.039	0.000	-152.815
404.229	742.153	0.000	-152.452
404.167	742.267	0.000	-152.090
404.105	742.381	0.000	-151.729
404.043	742.495	0.000	-151.368
403.981	742.610	0.000	-151.009
403.919	742.724	0.000	-150.650
403.857	742.838	0.000	-150.295
403.795	742.952	0.000	-149.942
403.733	743.066	0.000	-149.593
403.670	743.181	0.000	-149.251
403.608	743.295	0.000	-148.917
403.546	743.409	0.000	-148.597
403.484	743.524	0.000	-148.295
403.422	743.638	0.000	-148.011
403.360	743.753	0.000	-147.745
403.298	743.867	0.000	-147.491
403.236	743.982	0.000	-147.245
403.174	744.096	0.000	-147.005
403.112	744.211	0.000	-146.767
403.050	744.325	0.000	-146.530
402.988	744.440	0.000	-146.293
402.925	744.555	0.000	-146.054
402.863	744.669	0.000	-145.813
402.801	744.784	0.000	-145.570
402.739	744.899	0.000	-145.323
402.677	745.014	0.000	-145.072
402.615	745.129	0.000	-144.817
402.553	745.244	0.000	-144.557
402.491	745.359	0.000	-144.291
402.429	745.473	0.000	-144.020
402.367	745.589	0.000	-143.743
402.305	745.704	0.000	-143.461
402.243	745.819	0.000	-143.171
402.180	745.934	0.000	-142.877
402.118	746.049	0.000	-142.576
402.056	746.164	0.000	-142.270
401.994	746.279	0.000	-141.959
401.932	746.395	0.000	-141.641
401.870	746.510	0.000	-141.320
401.808	746.625	0.000	-140.993
401.746	746.741	0.000	-140.663
401.684	746.856	0.000	-140.327
401.622	746.972	0.000	-139.988
401.560	747.087	0.000	-139.644
401.498	747.203	0.000	-139.296
401.436	747.318	0.000	-138.943
401.373	747.434	0.000	-138.585
401.311	747.549	0.000	-138.224
401.249	747.665	0.000	-137.855
401.187	747.781	0.000	-137.481
401.125	747.896	0.000	-137.099
401.063	748.012	0.000	-136.707
401.001	748.128	0.000	-136.305
400.939	748.244	0.000	-135.890
400.877	748.360	0.000	-135.463
400.815	748.476	0.000	-135.022
400.753	748.591	0.000	-134.572
400.691	748.708	0.000	-134.113
400.628	748.824	0.000	-133.648
400.566	748.940	0.000	-133.181
400.504	749.056	0.000	-132.712
400.442	749.172	0.000	-132.243
