[time (fs)]	[Fourier limited intensity]	[intensity]	[phase (rad)]
339.219	0.000	0.002	18.439
340.202	0.000	0.002	18.512
341.186	0.000	0.002	18.581
342.169	0.000	0.002	18.646
343.152	0.000	0.003	18.707
344.135	0.000	0.003	18.766
345.118	0.000	0.003	18.822
346.102	0.000	0.003	18.876
347.085	0.000	0.003	18.929
348.068	0.000	0.003	18.980
349.051	0.000	0.003	19.030
350.035	0.000	0.003	19.079
351.018	0.000	0.003	19.128
352.001	0.000	0.003	19.177
352.984	0.000	0.003	19.225
353.968	0.000	0.003	19.274
354.951	0.000	0.003	19.324
355.934	0.000	0.003	19.375
356.917	0.000	0.003	19.428
357.901	0.000	0.003	19.482
358.884	0.000	0.002	19.538
359.867	0.000	0.002	19.596
360.850	0.000	0.002	19.658
361.834	0.000	0.002	19.722
362.817	0.000	0.002	19.791
363.800	0.000	0.002	19.864
364.783	0.000	0.002	19.941
365.767	0.000	0.002	20.024
366.750	0.000	0.001	20.112
367.733	0.000	0.001	20.206
368.716	0.000	0.001	20.306
369.700	0.000	0.001	20.411
370.683	0.000	0.001	20.520
371.666	0.000	0.001	20.633
372.649	0.000	0.001	20.747
373.633	0.000	0.001	20.863
374.616	0.000	0.001	20.976
375.599	0.000	0.001	21.087
376.582	0.000	0.001	21.194
377.566	0.000	0.001	21.296
378.549	0.000	0.001	21.392
379.532	0.000	0.001	21.483
380.515	0.000	0.001	21.568
381.499	0.000	0.001	21.647
382.482	0.000	0.002	21.722
383.465	0.000	0.002	21.792
384.448	0.000	0.002	21.858
385.431	0.000	0.002	21.921
386.415	0.000	0.002	21.981
387.398	0.000	0.002	22.038
388.381	0.000	0.002	22.092
389.364	0.000	0.002	22.145
390.348	0.000	0.002	22.196
391.331	0.000	0.002	22.247
392.314	0.000	0.002	22.296
393.297	0.000	0.002	22.345
394.281	0.000	0.002	22.394
395.264	0.000	0.002	22.442
396.247	0.000	0.002	22.491
397.230	0.000	0.002	22.541
398.214	0.000	0.002	22.592
399.197	0.000	0.002	22.644
400.180	0.000	0.002	22.698
401.163	0.000	0.002	22.754
402.147	0.000	0.001	22.813
403.130	0.000	0.001	22.875
404.113	0.000	0.001	22.940
405.096	0.000	0.001	23.010
406.080	0.000	0.001	23.084
407.063	0.000	0.001	23.163
408.046	0.000	0.001	23.248
409.029	0.000	0.001	23.340
410.013	0.000	0.001	23.438
410.996	0.000	0.001	23.542
411.979	0.000	0.001	23.652
412.962	0.000	0.001	23.768
413.946	0.000	0.001	23.887
414.929	0.000	0.001	24.009
415.912	0.000	0.001	24.130
416.895	0.000	0.001	24.249
417.879	0.000	0.001	24.364
418.862	0.000	0.001	24.474
419.845	0.000	0.001	24.578
420.828	0.000	0.001	24.675
421.811	0.000	0.001	24.766
422.795	0.000	0.001	24.850
423.778	0.000	0.001	24.928
424.761	0.000	0.001	25.001
425.744	0.000	0.001	25.070
426.728	0.000	0.001	25.134
427.711	0.000	0.001	25.194
428.694	0.000	0.001	25.251
429.677	0.000	0.001	25.306
430.661	0.000	0.001	25.358
431.644	0.000	0.001	25.408
432.627	0.000	0.001	25.457
433.610	0.000	0.001	25.505
434.594	0.000	0.001	25.552
435.577	0.000	0.001	25.598
436.560	0.000	0.001	25.645
437.543	0.000	0.001	25.691
438.527	0.000	0.001	25.738
439.510	0.000	0.001	25.785
440.493	0.000	0.001	25.834
441.476	0.000	0.001	25.884
442.460	0.000	0.001	25.936
443.443	0.000	0.001	25.991
444.426	0.000	0.001	26.048
445.409	0.000	0.001	26.108
446.393	0.000	0.001	26.173
447.376	0.000	0.001	26.243
448.359	0.000	0.001	26.318
449.342	0.000	0.000	26.399
450.326	0.000	0.000	26.488
451.309	0.000	0.000	26.584
452.292	0.000	0.000	26.689
453.275	0.000	0.000	26.802
454.259	0.000	0.000	26.922
455.242	0.000	0.000	27.050
456.225	0.000	0.000	27.181
457.208	0.000	0.000	27.314
458.191	0.000	0.000	27.446
459.175	0.000	0.000	27.573
460.158	0.000	0.000	27.694
461.141	0.000	0.000	27.808
462.124	0.000	0.000	27.912
463.108	0.000	0.000	28.009
464.091	0.000	0.000	28.097
465.074	0.000	0.000	28.177
466.057	0.000	0.000	28.251
467.041	0.000	0.000	28.320
468.024	0.000	0.000	28.383
469.007	0.000	0.001	28.441
469.990	0.000	0.001	28.496
470.974	0.000	0.001	28.548
471.957	0.000	0.001	28.596
472.940	0.000	0.001	28.643
473.923	0.000	0.001	28.688
474.907	0.000	0.001	28.731
475.890	0.000	0.001	28.774
476.873	0.000	0.001	28.815
477.856	0.000	0.001	28.856
478.840	0.000	0.001	28.897
479.823	0.000	0.001	28.938
480.806	0.000	0.001	28.979
481.789	0.000	0.001	29.022
482.773	0.000	0.000	29.065
483.756	0.000	0.000	29.110
484.739	0.000	0.000	29.157
485.722	0.000	0.000	29.206
486.706	0.000	0.000	29.258
487.689	0.000	0.000	29.315
488.672	0.000	0.000	29.376
489.655	0.000	0.000	29.442
490.639	0.000	0.000	29.516
