[frequency (THz)]	[signal]	[dc signal]	[interferogram phase (rad)]	[linear phase (rad)]
420.060	225.195	245.543	73.948	70.289
419.997	325.074	243.660	74.386	70.778
419.935	293.625	241.864	74.819	71.267
419.873	138.680	240.166	75.244	71.756
419.811	255.552	238.577	75.662	72.246
419.749	283.275	237.112	76.071	72.735
419.687	216.489	235.786	76.469	73.224
419.625	239.598	234.615	76.857	73.713
419.563	195.243	233.618	77.234	74.203
419.501	234.038	232.810	77.600	74.692
419.439	217.027	232.206	77.958	75.181
419.377	264.360	231.810	78.309	75.670
419.315	152.091	231.620	78.658	76.160
419.253	159.329	231.621	79.010	76.649
419.190	186.764	231.789	79.368	77.138
419.128	232.734	232.094	79.734	77.627
419.066	223.593	232.503	80.111	78.117
419.004	191.722	232.983	80.499	78.606
418.942	267.839	233.504	80.896	79.095
418.880	235.291	234.042	81.303	79.584
418.818	118.859	234.574	81.718	80.074
418.756	319.352	235.083	82.140	80.563
418.694	235.321	235.555	82.568	81.052
418.632	219.538	235.980	83.000	81.541
418.570	259.794	236.349	83.437	82.031
418.508	261.020	236.657	83.877	82.520
418.445	202.874	236.899	84.320	83.009
418.383	276.340	237.075	84.765	83.499
418.321	128.843	237.182	85.211	83.988
418.259	179.391	237.224	85.659	84.477
418.197	286.006	237.201	86.107	84.966
418.135	265.328	237.118	86.555	85.456
418.073	195.831	236.979	87.003	85.945
418.011	181.818	236.790	87.450	86.434
417.949	207.153	236.558	87.896	86.923
417.887	224.464	236.290	88.341	87.413
417.825	232.921	235.996	88.784	87.902
417.763	184.140	235.685	89.223	88.391
417.701	235.862	235.369	89.660	88.880
417.638	169.144	235.058	90.093	89.370
417.576	158.464	234.766	90.522	89.859
417.514	219.005	234.506	90.945	90.348
417.452	231.125	234.294	91.363	90.837
417.390	96.994	234.146	91.774	91.327
417.328	245.376	234.079	92.179	91.816
417.266	310.795	234.109	92.576	92.305
417.204	280.444	234.254	92.967	92.794
417.142	227.598	234.529	93.352	93.284
417.080	124.050	234.946	93.733	93.773
417.018	249.172	235.516	94.111	94.262
416.956	160.040	236.240	94.490	94.751
416.893	266.450	237.118	94.871	95.241
416.831	185.005	238.141	95.257	95.730
416.769	286.488	239.297	95.650	96.219
416.707	176.210	240.572	96.051	96.708
416.645	272.356	241.949	96.460	97.198
416.583	214.694	243.411	96.878	97.687
416.521	164.226	244.941	97.303	98.176
416.459	219.753	246.522	97.737	98.665
416.397	207.519	248.140	98.177	99.155
416.335	283.632	249.780	98.624	99.644
416.273	357.082	251.429	99.077	100.133
416.211	248.917	253.075	99.535	100.622
416.148	258.231	254.707	99.999	101.112
416.086	347.018	256.315	100.467	101.601
416.024	314.093	257.888	100.940	102.090
415.962	323.583	259.419	101.417	102.579
415.900	278.853	260.899	101.898	103.069
415.838	222.373	262.320	102.383	103.558
415.776	292.833	263.678	102.872	104.047
415.714	226.313	264.967	103.365	104.536
415.652	267.862	266.183	103.863	105.026
415.590	292.837	267.322	104.365	105.515
415.528	252.936	268.383	104.872	106.004
415.466	130.465	269.366	105.385	106.493
415.404	240.157	270.271	105.903	106.983
415.341	214.877	271.104	106.428	107.472
415.279	226.989	271.868	106.960	107.961
415.217	274.021	272.571	107.500	108.450
415.155	287.742	273.226	108.048	108.940
415.093	215.222	273.844	108.606	109.429
415.031	157.558	274.441	109.172	109.918
414.969	185.706	275.036	109.748	110.407
414.907	282.612	275.649	110.333	110.897
414.845	163.659	276.297	110.925	111.386
414.783	223.084	276.995	111.521	111.875
414.721	376.360	277.756	112.119	112.364
414.659	309.992	278.581	112.715	112.854
414.596	307.247	279.470	113.307	113.343
414.534	278.250	280.413	113.892	113.832
414.472	352.443	281.396	114.470	114.321
414.410	181.979	282.406	115.039	114.811
414.348	233.003	283.426	115.600	115.300
414.286	279.401	284.441	116.153	115.789
414.224	333.854	285.437	116.699	116.278
414.162	268.537	286.401	117.238	116.768
414.100	248.937	287.323	117.772	117.257
414.038	269.174	288.193	118.300	117.746
413.976	254.087	289.004	118.825	118.235
413.914	307.675	289.749	119.346	118.725
413.852	270.473	290.422	119.863	119.214
413.789	249.831	291.020	120.378	119.703
413.727	156.322	291.539	120.890	120.192
413.665	273.796	291.976	121.400	120.682
413.603	213.774	292.329	121.909	121.171
413.541	258.389	292.598	122.416	121.660
413.479	199.622	292.782	122.921	122.149
413.417	387.361	292.880	123.425	122.639
413.355	241.067	292.894	123.928	123.128
413.293	286.903	292.824	124.431	123.617
413.231	319.322	292.672	124.932	124.106
413.169	331.372	292.440	125.432	124.596
413.107	267.512	292.130	125.932	125.085
413.044	276.058	291.744	126.432	125.574
412.982	352.329	291.287	126.931	126.063
412.920	246.661	290.760	127.429	126.553
412.858	231.555	290.167	127.927	127.042
412.796	228.174	289.512	128.424	127.531
