FLMT09758_1:101		
180.403	-25.64	
180.624	-25.64	
180.845	-25.64	
181.066	-36.74	
181.287	-34.83	
181.509	-4.98	
181.73	28.71	
181.951	-1.53	
182.172	15.31	
182.393	18.37	
182.614	-0.38	
182.835	-21.43	
183.056	7.65	
183.277	-4.21	
183.498	-37.89	
183.719	0.38	
183.94	-0	
184.161	-33.3	
184.382	7.27	
184.603	-35.21	
184.824	4.59	
185.045	41.34	
185.266	27.94	
185.487	-0.38	
185.708	-15.69	
185.929	-34.06	
186.15	-11.87	
186.37	-14.54	
186.591	42.48	
186.812	11.1	
187.033	24.88	
187.254	21.05	
187.475	-11.1	
187.695	18.37	
187.916	8.42	
188.137	28.32	
188.358	-17.99	
188.578	53.2	
188.799	27.94	
189.02	13.78	
189.24	7.65	
189.461	-23.73	
189.682	-4.21	
189.902	12.63	
190.123	19.52	
190.344	30.24	
190.564	9.57	
190.785	19.14	
191.006	-2.3	
191.226	-5.74	
191.447	29.09	
191.667	16.84	
191.888	21.05	
192.108	15.31	
192.329	26.03	
192.549	21.05	
192.77	1.15	
192.99	20.29	
193.211	32.53	
193.431	-1.15	
193.652	-0.38	
193.872	1.91	
194.092	4.21	
194.313	-19.52	
194.533	14.93	
194.754	35.6	
194.974	9.57	
195.194	9.19	
195.415	-19.14	
195.635	14.16	
195.855	35.6	
196.076	5.36	
196.296	-10.72	
196.516	17.61	
196.736	32.92	
196.957	-25.26	
197.177	14.54	
197.397	23.73	
197.617	-16.46	
197.838	12.63	
198.058	22.2	
198.278	19.14	
198.498	5.36	
198.718	-23.73	
198.938	0.77	
199.158	-16.84	
199.379	16.08	
199.599	6.12	
199.819	-3.06	
200.039	25.64	
200.259	10.33	
200.479	25.26	
200.699	33.3	
200.919	1.53	
201.139	58.56	
201.359	8.8	
201.579	27.56	
201.799	-13.01	
202.019	-21.43	
202.239	4.59	
202.459	24.11	
202.679	44.02	
202.899	9.95	
203.118	-10.33	
203.338	24.88	
203.558	6.89	
203.778	-25.26	
203.998	23.73	
204.218	-19.9	
204.438	15.31	
204.657	5.36	
204.877	34.83	
205.097	6.51	
205.317	0.77	
205.536	-20.67	
205.756	-3.44	
205.976	4.98	
206.196	11.48	
206.415	12.25	
206.635	-2.68	
206.855	12.63	
207.074	-4.59	
207.294	16.46	
207.514	1.15	
207.733	42.87	
207.953	8.42	
208.172	48.23	
208.392	23.73	
